Date,Open,High,Low,Close,Volume
2022-09-21,305.09,306.07,303.77,304.67,104487486
2022-09-22,300.67,302.19,299.3,301.65,114961979
2022-09-23,301.48,302.09,296.85,297.74,114627043
2022-09-26,293.65,293.96,289.01,289.77,177691607
2022-09-27,290.27,290.75,286.76,290.2,152309861
2022-09-28,287.66,289.75,280.8,283.19,160839496
2022-09-29,286.6,287.81,282.56,282.65,128427289
2022-09-30,281.75,284.35,278.39,281.36,143737637
2022-10-04,286.25,288.96,285.42,288.27,120019411
2022-10-05,293.87,294.47,287.44,289.05,138906604
2022-10-06,291.2,293.32,290.09,291.26,93858156
2022-10-07,288.35,292.2,287.84,290.41,128156449
2022-10-11,284.39,284.96,282.04,284.96,127821691
2022-10-12,285.23,287.52,284.32,287.09,120861623
2022-10-13,286.27,286.36,282.57,282.57,133288668
2022-10-14,287.59,290.32,286.59,289.36,132068992
2022-10-17,285.89,290.04,284.91,289.57,111596605
2022-10-18,293.34,293.78,289.77,293.59,117118415
2022-10-19,293.41,295.34,290.9,291.29,110850949
2022-10-20,289.33,290.07,286.5,288.61,136903626
2022-10-21,287.68,290.38,287.44,288.57,102369328
2022-10-24,293.6,294.24,290.52,291.47,116175715
2022-10-25,291.29,293.75,290.53,291.58,116351408
2022-10-26,292.21,295.28,291.4,293.85,122301108
2022-10-27,295.85,299.19,295.01,298.82,176203960
2022-10-28,296.8,298.45,294.65,295.06,131077655
2022-10-31,298.61,300.05,296.45,299.58,121050404
2022-11-01,300.53,304.01,299.84,303.88,272490446
2022-11-02,302.49,305.1,302.02,303.87,192341328
2022-11-03,298.55,303.8,297.62,301.66,179815599
2022-11-04,301.16,304.33,299.46,304.33,182715250
2022-11-07,306.08,308.15,305.05,307.87,148868512
2022-11-08,310.08,312.57,309.21,312.01,142951839
2022-11-09,313.4,316.09,312.54,315.23,162126788
2022-11-10,312.63,314.91,311.13,311.13,149974585
2022-11-11,320.47,323.51,319.97,323.09,236342179
2022-11-14,323.41,324.73,320.86,321.53,267590481
2022-11-15,322.76,323.03,319.96,322.31,144811100
2022-11-16,322.98,322.98,318.02,321.96,177085550
2022-11-17,319.98,320.35,316.75,316.75,157359350
2022-11-18,317.63,320.7,316.7,317.12,136518686
2022-11-21,317.22,317.65,312.99,314.67,123416831
2022-11-22,312.88,315.09,311.69,312.02,115972431
2022-11-23,314.84,315.24,312.65,314.11,148269042
2022-11-24,316.6,317.33,315.27,317.3,99544201
2022-11-25,317.28,318.1,315.76,316.07,102914786
2022-11-28,313.89,313.89,311.28,312.21,96035031
2022-11-29,311.79,315.74,311.07,315.58,94417485
2022-11-30,314.35,321.01,314.2,321.0,189080122
2022-12-01,325.37,325.49,321.44,322.02,130317465
2022-12-02,320.76,320.76,315.02,315.02,114750435
2022-12-05,316.26,317.07,312.92,313.91,113970929
2022-12-06,310.9,313.34,309.7,310.14,100040512
2022-12-07,309.11,310.25,308.08,308.27,92852286
2022-12-08,308.78,309.0,306.01,308.24,121095343
2022-12-09,309.81,312.06,308.76,311.63,113451366
2022-12-12,309.38,310.69,308.7,309.64,85706449
2022-12-13,311.26,311.85,308.54,309.56,101876943
2022-12-14,310.87,313.41,310.57,313.23,83853551
2022-12-15,310.73,311.98,307.73,307.73,95261751
2022-12-16,303.48,307.48,303.09,307.48,114653592
2022-12-19,306.33,307.99,305.19,306.77,77963325
2022-12-20,305.65,306.58,302.96,304.05,88754764
2022-12-21,305.84,305.99,302.92,303.23,76956809
2022-12-22,304.66,307.48,303.96,307.48,233308281
2022-12-23,303.14,304.42,301.47,302.07,94834788
2022-12-26,301.76,302.97,300.66,302.27,78881090
2022-12-27,303.77,305.02,302.83,304.22,122967923
2022-12-28,299.36,299.36,296.59,297.09,137294971
2022-12-29,294.98,295.94,291.1,291.1,114466989
2023-01-02,292.9,294.02,289.19,289.79,92544049
2023-01-03,290.64,290.95,284.32,289.58,106623597
2023-01-04,288.34,296.7,287.94,295.98,109947475
2023-01-05,297.65,299.69,296.01,297.87,137287857
2023-01-06,296.69,303.1,296.4,301.53,121021827
2023-01-09,305.1,309.81,304.57,309.69,121175378
2023-01-10,308.69,312.0,308.24,309.57,111372904
2023-01-11,311.66,312.57,309.1,310.38,102603792
2023-01-12,312.71,312.96,309.7,310.7,130719268
2023-01-13,312.34,315.44,311.96,313.77,128647491
2023-01-16,314.41,317.63,314.16,316.04,119827727
2023-01-17,316.22,316.56,312.92,313.75,101245946
2023-01-18,313.62,314.14,310.11,311.91,93051501
2023-01-19,310.08,313.81,310.04,313.81,86249920
2023-01-20,313.99,315.76,312.59,315.58,78972658
2023-01-25,320.81,321.48,319.75,320.76,97520618
2023-01-26,321.82,325.57,320.49,325.57,117869448
2023-01-27,326.22,329.71,324.98,327.98,156157976
2023-01-30,328.09,328.97,322.35,322.67,141804259
2023-01-31,322.71,323.26,317.09,317.26,194662939
2023-02-01,320.54,321.64,318.61,321.19,140522119
2023-02-02,325.94,326.73,321.97,323.93,152767019
